form,company,cik,date_filed,filing_path,event
N-14,Aberdeen Funds,1413594,2018-01,-26  edgar/data/1413594/0001104659-18-004307.txt,merger/reorg
N-14,Chartwell Funds,1697268,2018-01,-26  edgar/data/1697268/0001398344-18-001015.txt,merger/reorg
N-14,EATON VANCE MUTUAL FUNDS TRUST,745463,2018-01,-30  edgar/data/745463/0000940394-18-000172.txt,merger/reorg
N-14,JOHN HANCOCK VARIABLE INSURANCE TRUST,756913,2018-01,-17  edgar/data/756913/0001133228-18-000369.txt,merger/reorg
N-14,RUSSELL INVESTMENT CO,351601,2018-01,-30  edgar/data/351601/0001193125-18-025540.txt,merger/reorg
N-14,TEMPLETON GLOBAL SMALLER COMPANIES FUND,350900,2018-01,-18  edgar/data/350900/0000350900-18-000006.txt,merger/reorg
N-14,UNIFIED SERIES TRUST,1199046,2018-01,-26  edgar/data/1199046/0001193125-18-021002.txt,merger/reorg
N-14 8C/A,"ABERDEEN CHILE FUND, INC.",846676,2018-01,-26  edgar/data/846676/0001104659-18-004294.txt,merger/reorg
N-14/A,CM ADVISORS FAMILY OF FUNDS,1208252,2018-01,-12  edgar/data/1208252/0001398344-18-000557.txt,merger/reorg
N-14/A,DIMENSIONAL INVESTMENT GROUP INC,861929,2018-01,-23  edgar/data/861929/0001193125-18-017323.txt,merger/reorg
N-8F,CROFT FUNDS CORP,927437,2018-01,-24  edgar/data/927437/0001162044-18-000037.txt,deregistration
N-8F,Cushing MLP Infrastructure Fund I,1498753,2018-01,-05  edgar/data/1498753/0001193125-18-004439.txt,deregistration
N-8F,Cushing MLP Infrastructure Master Fund,1646350,2018-01,-05  edgar/data/1646350/0001193125-18-004450.txt,deregistration
N-8F,Prospect Marketplace Lending Corp,1685710,2018-01,-04  edgar/data/1685710/0001685710-18-000002.txt,deregistration
N-8F,TSC UITS,1553385,2018-01,-10  edgar/data/1553385/0001013228-18-000033.txt,deregistration
N-8F,Transamerica AUIM Opportunistic Bond,1561400,2018-01,-24  edgar/data/1561400/0001193125-18-018180.txt,deregistration
N-8F NTC,AETNA MULTI-STRATEGY 1099 FUND,1552250,2018-01,-05  edgar/data/1552250/9999999997-17-011036.txt,deregistration
N-8F NTC,Ashmore Emerging Markets Income Fund,1562376,2018-01,-31  edgar/data/1562376/9999999997-18-000560.txt,deregistration
