form,company,cik,date_filed,filing_path,event
N-14,ADVANCED SERIES TRUST,814679,2022-10,-21  edgar/data/814679/0001104659-22-110683.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2022-10,-21  edgar/data/814679/0001104659-22-110685.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2022-11,-01  edgar/data/814679/0001104659-22-113558.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2022-11,-02  edgar/data/814679/0001104659-22-113897.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2022-11,-03  edgar/data/814679/0001104659-22-114431.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2022-11,-07  edgar/data/814679/0001104659-22-115403.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2022-11,-17  edgar/data/814679/0001104659-22-119951.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2022-11,-21  edgar/data/814679/0001104659-22-120856.txt,merger/reorg
N-14,ADVISORS' INNER CIRCLE FUND,878719,2022-11,-22  edgar/data/878719/0001398344-22-022506.txt,merger/reorg
N-14,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,1091439,2022-12,-20  edgar/data/1091439/0001091439-22-000009.txt,merger/reorg
N-14,Allianz Variable Insurance Products Fund of Funds Trust,1301708,2022-12,-20  edgar/data/1301708/0001301708-22-000004.txt,merger/reorg
N-14,COLUMBIA ACORN TRUST,2110,2022-12,-20  edgar/data/2110/0001193125-22-309043.txt,merger/reorg
N-14,DELAWARE GROUP EQUITY FUNDS IV,778108,2022-12,-20  edgar/data/778108/0001137439-22-001205.txt,merger/reorg
N-14,DELAWARE GROUP EQUITY FUNDS V,809821,2022-12,-20  edgar/data/809821/0001137439-22-001206.txt,merger/reorg
N-14,DELAWARE VIP TRUST,814230,2022-12,-20  edgar/data/814230/0001137439-22-001204.txt,merger/reorg
N-14,EA Series Trust,1592900,2022-10,-11  edgar/data/1592900/0001829126-22-017655.txt,merger/reorg
N-14,EA Series Trust,1592900,2022-11,-23  edgar/data/1592900/0001829126-22-019488.txt,merger/reorg
N-14,Federated Hermes Intermediate Municipal Trust,770116,2022-10,-28  edgar/data/770116/0001623632-22-001362.txt,merger/reorg
N-14,Global X Funds,1432353,2022-12,-15  edgar/data/1432353/0001432353-22-000524.txt,merger/reorg
N-14,Goldman Sachs ETF Trust,1479026,2022-10,-04  edgar/data/1479026/0001193125-22-257509.txt,merger/reorg
N-14,Harbor ETF Trust,1860434,2022-12,-23  edgar/data/1860434/0001193125-22-311676.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2022-10,-25  edgar/data/1587982/0001398344-22-020649.txt,merger/reorg
