# All target-date fund series with tickered classes, from SEC series/class census 2026
# Generated 2026-07-07; 387 series; one class per series (retail-preferred)
# Usage: fundautopsy wrapper $(grep -v "^#" data/universes/tdf_all.txt | tr "
" " ")
JHAPX  # 2020 Lifetime Blend Portfolio | Class A
JHAVX  # 2030 Lifetime Blend Portfolio | Class A
JRHSX  # 2030 Preservation Blend Portfolio | Class R6
JHBAX  # 2040 Lifetime Blend Portfolio | Class A
JRRSX  # 2040 Preservation Blend Portfolio | Class R6
JHBFX  # 2050 Lifetime Blend Portfolio | Class A
JRISX  # 2050 Preservation Blend Portfolio | Class R6
JHBKX  # 2060 Lifetime Blend Portfolio | Class A
JTFOX  # 2060 Preservation Blend Portfolio | Class R6
AAATX  # American Funds 2010 Target Date Retirement Income Fund | Class A
AABTX  # American Funds 2015 Target Date Retirement Income Fund | Class A
AACTX  # American Funds 2020 Target Date Retirement Income Fund | Class A
AADTX  # American Funds 2025 Target Date Retirement Income Fund | Class A
AAETX  # American Funds 2030 Target Date Retirement Fund | Class A
AAFTX  # American Funds 2035 Target Date Retirement Fund | Class A
AAGTX  # American Funds 2040 Target Date Retirement Fund | Class A
AAHTX  # American Funds 2045 Target Date Retirement Fund | Class A
AALTX  # American Funds 2050 Target Date Retirement Fund | Class A
AAMTX  # American Funds 2055 Target Date Retirement Fund | Class A
AANTX  # American Funds 2060 Target Date Retirement Fund | Class A
AAOTX  # American Funds 2065 Target Date Retirement Fund | Class A
AAFJX  # American Funds 2070 Target Date Retirement Fund | Class A
CTHAX  # American Funds College 2030 Fund | Class 529-A
LPBAX  # BlackRock LifePath Dynamic 2025 Fund | Investor A Shares
LPRDX  # BlackRock LifePath Dynamic 2030 Fund | Investor A Shares
LPJAX  # BlackRock LifePath Dynamic 2035 Fund | Investor A Shares
LPREX  # BlackRock LifePath Dynamic 2040 Fund | Investor A Shares
LPHAX  # BlackRock LifePath Dynamic 2045 Fund | Investor A Shares
LPVAX  # BlackRock LifePath Dynamic 2055 Fund | Investor A Shares
LPRFX  # BlackRock Lifepath Dynamic 2050 Fund | Investor A Shares
DFARX  # Dimensional 2070 Target Date Retirement Income Fund | Institutional Class
MXAGX  # Empower Lifetime 2020 Fund | Investor Class
MXATX  # Empower Lifetime 2030 Fund | Investor Class
MXBDX  # Empower Lifetime 2040 Fund | Investor Class
MXBOX  # Empower Lifetime 2050 Fund | Investor Class
MXGNX  # Empower Lifetime 2060 Fund | Investor Class
FACFX  # Fidelity Advisor Freedom 2010 Fund | Class A
FFVAX  # Fidelity Advisor Freedom 2015 Fund | Class A
FDAFX  # Fidelity Advisor Freedom 2020 Fund | Class A
FATWX  # Fidelity Advisor Freedom 2025 Fund | Class A
FAFEX  # Fidelity Advisor Freedom 2030 Fund | Class A
FATHX  # Fidelity Advisor Freedom 2035 Fund | Class A
FAFFX  # Fidelity Advisor Freedom 2040 Fund | Class A
FFFZX  # Fidelity Advisor Freedom 2045 Fund | Class A
FFFLX  # Fidelity Advisor Freedom 2050 Fund | Class A
FHFAX  # Fidelity Advisor Freedom 2055 Fund | Class A
FDKPX  # Fidelity Advisor Freedom 2060 Fund | Class A
FDFZX  # Fidelity Advisor Freedom 2065 Fund | Class A
FRBJX  # Fidelity Advisor Freedom 2070 Fund | Class A
FISNX  # Fidelity Flex Freedom Blend 2010 Fund | Fidelity Flex Freedom Blend 2010 Fund
FILSX  # Fidelity Flex Freedom Blend 2015 Fund | Fidelity Flex Freedom Blend 2015 Fund
FULSX  # Fidelity Flex Freedom Blend 2020 Fund | Fidelity Flex Freedom Blend 2020 Fund
FELSX  # Fidelity Flex Freedom Blend 2025 Fund | Fidelity Flex Freedom Blend 2025 Fund
FVLSX  # Fidelity Flex Freedom Blend 2030 Fund | Fidelity Flex Freedom Blend 2030 Fund
FJLSX  # Fidelity Flex Freedom Blend 2035 Fund | Fidelity Flex Freedom Blend 2035 Fund
FCLSX  # Fidelity Flex Freedom Blend 2040 Fund | Fidelity Flex Freedom Blend 2040 Fund
FOLSX  # Fidelity Flex Freedom Blend 2045 Fund | Fidelity Flex Freedom Blend 2045 Fund
FYLSX  # Fidelity Flex Freedom Blend 2050 Fund | Fidelity Flex Freedom Blend 2050 Fund
FQLSX  # Fidelity Flex Freedom Blend 2055 Fund | Fidelity Flex Freedom Blend 2055 Fund
